Package Name;A;Ca;Ce;PAHD;PACHEF;PACHER;PACHL;PACHVC;PAHVL;I;PLOC;PAMI;PNCSS;D;PNOAC;PNOCC;PNOI;PNOSC
org;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
org.apache;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
org.apache.pdfbox;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
org.apache.pdfbox.examples;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
org.apache.pdfbox.examples.signature;0.25;1;0;133.5645;114599.0686;1.1092;430;230;2619.4004;0.0;282;22.1166;115;0.75;1;3;0;0
org.apache.pdfbox.examples.util;0.0;1;0;42.7778;12897.4244;0.2265;117;62;579.641;0.0;62;41.1982;24;1.0;0;2;0;0
stirling;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
stirling.software;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
stirling.software.SPDF;0.0;2;3;111.2588;243430.0964;1.4847;496;227;3476.8118;0.6;234;22.9912;157;0.4;0;2;0;0
stirling.software.SPDF.Factories;0.0;1;3;8.1818;1221.8628;0.0381;34;21;149.3388;0.75;24;54.5208;10;0.25;0;1;0;0
stirling.software.SPDF.UI;1.0;2;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0.0;0;0.0;0;0;1;0
stirling.software.SPDF.UI.impl;0.0;0;4;253.0664;934146.013;4.0103;977;393;7448.4827;1.0;685;10.4441;381;0.0;0;2;0;0
stirling.software.SPDF.config;0.0;11;12;513.8056;2073812.4317;8.3805;2612;956;18830.1065;0.5217;1128;2.7548;741;0.4783;0;14;0;0
stirling.software.SPDF.config.fingerprint;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
stirling.software.SPDF.controller;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
stirling.software.SPDF.controller.api;0.0;0;67;1370.14;4638880.9621;20.4812;5558;2039;40209.8518;1.0;2436;0.0;1561;0.0;0;18;0;0
stirling.software.SPDF.controller.api.converters;0.0;0;57;1207.3197;13650862.1119;28.4729;6216;2391;52334.1017;1.0;2873;0.0;1608;0.0;0;14;0;0
stirling.software.SPDF.controller.api.filters;0.0;0;5;72.0;131069.9949;0.8601;274;100;1820.4166;1.0;188;27.2089;59;0.0;0;1;0;0
stirling.software.SPDF.controller.api.misc;0.0;0;86;1812.3955;16350057.3658;38.4701;8610;3071;69608.6178;1.0;3642;0.0;2203;0.0;0;20;0;0
stirling.software.SPDF.controller.api.pipeline;0.0;0;14;362.9557;1698235.8079;6.3897;1540;578;11923.7874;1.0;770;7.8313;477;0.0;0;3;0;0
stirling.software.SPDF.controller.api.security;0.0;0;38;1592.0959;26043527.4504;43.259;7280;2189;64417.2733;1.0;3115;0.0;2000;0.0;0;8;0;0
stirling.software.SPDF.controller.web;0.0;0;17;297.2135;781915.9303;4.5021;1906;747;13026.5981;1.0;1060;4.4841;491;0.0;0;8;0;0
